Time 	A	I	AA
0	100.00	0.00	0.00
30	99.68	0.20	0.10
60	99.35	0.41	0.20
90	99.03	0.61	0.30
120	98.71	0.81	0.40
150	98.39	1.01	0.50
180	98.07	1.21	0.60
210	97.75	1.41	0.70
240	97.43	1.60	0.80
270	97.11	1.80	0.90
300	96.80	2.00	1.00
330	96.48	2.19	1.10
360	96.16	2.38	1.20
390	95.85	2.58	1.30
420	95.53	2.77	1.40
450	95.22	2.96	1.51
480	94.91	3.15	1.61
510	94.60	3.34	1.71
540	94.28	3.53	1.81
570	93.97	3.71	1.91
600	93.66	3.90	2.02
630	93.35	4.09	2.12
660	93.05	4.27	2.22
690	92.74	4.45	2.32
720	92.43	4.64	2.43
750	92.13	4.82	2.53
780	91.82	5.00	2.63
810	91.51	5.18	2.74
840	91.21	5.36	2.84
870	90.91	5.54	2.95
900	90.60	5.72	3.05
930	90.30	5.89	3.16
960	90.00	6.07	3.26
990	89.70	6.24	3.37
1020	89.40	6.42	3.47
1050	89.10	6.59	3.58
1080	88.80	6.76	3.68
1110	88.50	6.93	3.79
1140	88.21	7.10	3.89
1170	87.91	7.27	4.00
1200	87.62	7.44	4.10
1230	87.32	7.61	4.21
1260	87.03	7.77	4.32
1290	86.73	7.94	4.42
1320	86.44	8.10	4.53
1350	86.15	8.27	4.64
1380	85.86	8.43	4.74
1410	85.57	8.59	4.85
1440	85.28	8.76	4.96
1470	84.99	8.92	5.07
1500	84.70	9.08	5.18
1530	84.41	9.23	5.28
1560	84.13	9.39	5.39
1590	83.84	9.55	5.50
1620	83.55	9.70	5.61
1650	83.27	9.86	5.72
1680	82.98	10.01	5.83
1710	82.70	10.17	5.94
1740	82.42	10.32	6.04
1770	82.14	10.47	6.15
1800	81.86	10.62	6.26
1830	81.58	10.77	6.37
1860	81.30	10.92	6.48
1890	81.02	11.07	6.59
1920	80.74	11.21	6.70
1950	80.46	11.36	6.82
1980	80.18	11.50	6.93
2010	79.91	11.65	7.04
2040	79.63	11.79	7.15
2070	79.36	11.93	7.26
2100	79.08	12.08	7.37
2130	78.81	12.22	7.48
2160	78.54	12.36	7.59
2190	78.27	12.49	7.71
2220	78.00	12.63	7.82
2250	77.73	12.77	7.93
2280	77.46	12.90	8.04
2310	77.19	13.04	8.16
2340	76.92	13.17	8.27
2370	76.65	13.31	8.38
2400	76.38	13.44	8.50
2430	76.12	13.57	8.61
2460	75.85	13.70	8.72
2490	75.59	13.83	8.84
2520	75.32	13.96	8.95
2550	75.06	14.09	9.07
2580	74.80	14.22	9.18
2610	74.54	14.34	9.29
2640	74.28	14.47	9.41
2670	74.02	14.59	9.52
2700	73.76	14.72	9.64
2730	73.50	14.84	9.75
2760	73.24	14.96	9.87
2790	72.98	15.08	9.99
2820	72.72	15.20	10.10
2850	72.47	15.32	10.22
2880	72.21	15.44	10.33
2910	71.96	15.55	10.45
2940	71.71	15.67	10.57
2970	71.45	15.79	10.68
3000	71.20	15.90	10.80
3030	70.95	16.01	10.92
3060	70.70	16.13	11.03
3090	70.45	16.24	11.15
3120	70.20	16.35	11.27
3150	69.95	16.46	11.39
3180	69.70	16.57	11.51
3210	69.45	16.68	11.62
3240	69.21	16.78	11.74
3270	68.96	16.89	11.86
3300	68.72	17.00	11.98
3330	68.47	17.10	12.10
3360	68.23	17.20	12.22
3390	67.98	17.31	12.34
3420	67.74	17.41	12.46
3450	67.50	17.51	12.58
3480	67.26	17.61	12.70
3510	67.02	17.71	12.82
3540	66.78	17.81	12.94
3570	66.54	17.90	13.06
3600	66.30	18.00	13.18
3630	66.07	18.10	13.30
3660	65.83	18.19	13.42
3690	65.59	18.28	13.54
3720	65.36	18.38	13.66
3750	65.13	18.47	13.78
3780	64.89	18.56	13.90
3810	64.66	18.65	14.02
3840	64.43	18.74	14.15
3870	64.19	18.83	14.27
3900	63.96	18.92	14.39
3930	63.73	19.00	14.51
3960	63.50	19.09	14.64
3990	63.28	19.17	14.76
4020	63.05	19.26	14.88
4050	62.82	19.34	15.01
4080	62.59	19.42	15.13
4110	62.37	19.50	15.25
4140	62.14	19.58	15.38
4170	61.92	19.66	15.50
4200	61.70	19.74	15.62
4230	61.47	19.82	15.75
4260	61.25	19.89	15.87
4290	61.03	19.97	16.00
4320	60.81	20.04	16.12
4350	60.59	20.12	16.25
4380	60.37	20.19	16.37
4410	60.15	20.26	16.50
4440	59.93	20.34	16.62
4470	59.72	20.41	16.75
4500	59.50	20.48	16.88
4530	59.28	20.54	17.00
4560	59.07	20.61	17.13
4590	58.86	20.68	17.25
4620	58.64	20.74	17.38
4650	58.43	20.81	17.51
4680	58.22	20.87	17.63
4710	58.01	20.94	17.76
4740	57.80	21.00	17.89
4770	57.59	21.06	18.02
4800	57.38	21.12	18.14
4830	57.17	21.18	18.27
4860	56.96	21.24	18.40
4890	56.75	21.30	18.53
4920	56.55	21.35	18.66
4950	56.34	21.41	18.79
4980	56.14	21.46	18.91
5010	55.93	21.52	19.04
5040	55.73	21.57	19.17
5070	55.53	21.62	19.30
5100	55.32	21.68	19.43
5130	55.12	21.73	19.56
5160	54.92	21.78	19.69
5190	54.72	21.82	19.82
5220	54.52	21.87	19.95
5250	54.33	21.92	20.08
5280	54.13	21.96	20.21
5310	53.93	22.01	20.34
5340	53.73	22.05	20.47
5370	53.54	22.10	20.60
5400	53.34	22.14	20.74
5430	53.15	22.18	20.87
5460	52.96	22.22	21.00
5490	52.76	22.26	21.13
5520	52.57	22.30	21.26
5550	52.38	22.34	21.40
5580	52.19	22.38	21.53
5610	52.00	22.41	21.66
5640	51.81	22.45	21.79
5670	51.62	22.48	21.93
5700	51.44	22.52	22.06
5730	51.25	22.55	22.19
5760	51.06	22.58	22.33
5790	50.88	22.61	22.46
5820	50.69	22.64	22.59
5850	50.51	22.67	22.73
5880	50.33	22.70	22.86
5910	50.14	22.72	23.00
5940	49.96	22.75	23.13
5970	49.78	22.78	23.27
6000	49.60	22.80	23.40
6030	49.42	22.82	23.54
6060	49.24	22.85	23.67
6090	49.06	22.87	23.81
6120	48.89	22.89	23.94
6150	48.71	22.91	24.08
6180	48.53	22.93	24.21
6210	48.36	22.95	24.35
6240	48.18	22.96	24.49
6270	48.01	22.98	24.62
6300	47.84	23.00	24.76
6330	47.66	23.01	24.90
6360	47.49	23.02	25.03
6390	47.32	23.04	25.17
6420	47.15	23.05	25.31
6450	46.98	23.06	25.45
6480	46.81	23.07	25.58
6510	46.64	23.08	25.72
6540	46.48	23.09	25.86
6570	46.31	23.09	26.00
6600	46.14	23.10	26.14
6630	45.98	23.11	26.27
6660	45.81	23.11	26.41
6690	45.65	23.11	26.55
6720	45.49	23.12	26.69
6750	45.33	23.12	26.83
6780	45.16	23.12	26.97
6810	45.00	23.12	27.11
6840	44.84	23.12	27.25
6870	44.68	23.12	27.39
6900	44.52	23.12	27.53
6930	44.37	23.11	27.67
6960	44.21	23.11	27.81
6990	44.05	23.10	27.95
7020	43.90	23.10	28.09
7050	43.74	23.09	28.24
7080	43.59	23.08	28.38
7110	43.43	23.07	28.52
7140	43.28	23.06	28.66
7170	43.13	23.05	28.80
7200	42.98	23.04	28.94
7230	42.83	23.03	29.09
7260	42.68	23.01	29.23
7290	42.53	23.00	29.37
7320	42.38	22.98	29.51
7350	42.23	22.97	29.66
